,City ID,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
309,3517970,Pochutla,100,MX,1658884157,90,15.7432,-96.4661,78.82,2.51
310,2026786,Berezovyy,97,RU,1658884157,77,51.6667,135.7,65.82,1.36
311,1737486,Bintulu,100,MY,1658884158,91,3.1667,113.0333,77.49,3.78
312,3393471,Oriximiná,75,BR,1658884158,75,-1.7656,-55.8661,78.01,4.07
313,9874,Ramsar,64,IR,1658884158,84,36.9226,50.6426,76.84,1.16
314,2147756,Swan Hill,90,AU,1658884158,62,-35.3378,143.5544,56.21,12.21
315,3392431,Pedro II,100,BR,1658884125,48,-4.4247,-41.4586,70.7,1.72
316,3133053,Vågåmo,100,NO,1658884159,83,61.8751,9.0967,50.47,7.31
317,3388456,São José da Coroa Grande,100,BR,1658884159,85,-8.8978,-35.1478,73.96,10.96
318,4004293,Ixtapa,75,MX,1658884159,74,20.7,-105.2,85.23,9.22
319,5572400,Susanville,0,US,1658884134,20,40.4163,-120.653,90.09,10.36
320,2012956,Yerbogachën,56,RU,1658884148,68,61.2767,108.0108,65.8,9.8
321,4031574,Provideniya,0,RU,1658884160,66,64.3833,-173.3,50.36,15.99
